Bandit,Reward,Algorithm
2.0,3.493941314442103,ThompsonSampling
2.0,3.0228298466838255,ThompsonSampling
2.0,1.0950454168375248,ThompsonSampling
2.0,3.479069232265364,ThompsonSampling
2.0,4.097417308321608,ThompsonSampling
2.0,5.0404533175197725,ThompsonSampling
2.0,3.1424114136904224,ThompsonSampling
2.0,0.9314151158611881,ThompsonSampling
2.0,2.1452887670200065,ThompsonSampling
2.0,4.041630551291334,ThompsonSampling
2.0,2.109774465897124,ThompsonSampling
2.0,3.0442810302400196,ThompsonSampling
2.0,2.562850260841853,ThompsonSampling
2.0,2.0069260031915666,ThompsonSampling
2.0,4.0861251547708255,ThompsonSampling
2.0,2.0205880328542873,ThompsonSampling
2.0,2.769493874698276,ThompsonSampling
2.0,3.2232224553074387,ThompsonSampling
2.0,2.6042187688493263,ThompsonSampling
2.0,2.037572852308913,ThompsonSampling
2.0,2.5770583861473155,ThompsonSampling
2.0,3.230494810224616,ThompsonSampling
2.0,2.895666017028346,ThompsonSampling
2.0,3.147332712414623,ThompsonSampling
2.0,3.2792132601969413,ThompsonSampling
2.0,2.9470156996392194,ThompsonSampling
2.0,2.486664921086483,ThompsonSampling
2.0,3.1990038363559727,ThompsonSampling
2.0,2.1896127647157524,ThompsonSampling
2.0,1.8288557728047723,ThompsonSampling
2.0,2.945304372420267,ThompsonSampling
2.0,3.877009205767308,ThompsonSampling
2.0,2.998564586343527,ThompsonSampling
2.0,1.587321292519758,ThompsonSampling
2.0,3.5411043066932666,ThompsonSampling
2.0,3.1107663577990063,ThompsonSampling
2.0,2.9378021375784016,ThompsonSampling
2.0,5.29075178375315,ThompsonSampling
